,CUX2,COL5A2,PENK,CARTPT,GAD2,RXFP1,LAMP5,CBLN2,SLC17A7,totalReads,area,x,y,experimentName,ROI_ID,layerData,layerCoordinate,lateralCoordinate
17,2,0,0,0,0,0,1,0,1,4,26880,21892,-2328,smFISH_Human_L2-L3_2018_04,18,1,-22013.59935,284.0629838
18,0,1,0,0,0,0,0,0,0,1,12960,21204,-4032,smFISH_Human_L2-L3_2018_04,19,1,-21486.88445,2044.611597
19,0,0,0,0,0,0,0,0,1,1,11674,21124,-3920,smFISH_Human_L2-L3_2018_04,20,1,-21396.82513,1940.528367
20,1,0,0,0,0,0,1,0,0,2,10278,21098,-4018,smFISH_Human_L2-L3_2018_04,21,1,-21380.04224,2040.520039
21,1,1,1,0,0,0,0,0,1,4,24288,21092,-4180,smFISH_Human_L2-L3_2018_04,22,1,-21389.11874,2202.376818
22,7,2,0,9,4,0,4,1,2,29,17262,20936,-4186,smFISH_Human_L2-L3_2018_04,23,1,-21234.35086,2222.843993
23,3,7,3,9,7,0,9,5,4,47,15000,20928,-4056,smFISH_Human_L2-L3_2018_04,24,1,-21214.30786,2094.149478
24,5,2,1,5,4,2,6,5,1,31,16944,20898,-3962,smFISH_Human_L2-L3_2018_04,25,1,-21175.70457,2003.343167
25,1,0,0,1,0,0,2,0,1,5,27396,20728,-4688,smFISH_Human_L2-L3_2018_04,26,1,-21073.88859,2741.997014
26,4,3,1,2,2,0,6,2,4,24,21044,21234,-3044,smFISH_Human_L2-L3_2018_04,27,1,-21424.96491,1058.097547
27,0,1,0,0,1,0,0,1,1,4,12500,20772,-3928,smFISH_Human_L2-L3_2018_04,28,1,-21047.09076,1981.196201
28,1,0,0,2,1,0,2,1,1,8,14668,20860,-3868,smFISH_Human_L2-L3_2018_04,29,1,-21129.13589,1913.280092
29,1,0,1,0,0,0,0,0,0,2,24640,20656,-3796,smFISH_Human_L2-L3_2018_04,30,1,-20919.32905,1860.544038
30,0,1,0,0,0,0,0,0,1,2,17006,20616,-3606,smFISH_Human_L2-L3_2018_04,31,1,-20861.85017,1675.081972
31,4,4,4,6,3,3,4,3,5,36,20112,20972,-3634,smFISH_Human_L2-L3_2018_04,32,1,-21218.9118,1669.886819
32,2,0,0,1,1,0,1,0,0,5,35702,20708,-3428,smFISH_Human_L2-L3_2018_04,33,1,-20936.91524,1489.304593
33,2,1,0,3,0,0,4,0,0,10,16826,20804,-3528,smFISH_Human_L2-L3_2018_04,34,1,-21041.79051,1579.953248
34,4,2,1,5,2,1,6,2,1,24,18454,21036,-3444,smFISH_Human_L2-L3_2018_04,35,1,-21264.98312,1474.76267
35,8,1,1,11,1,1,9,1,2,35,20686,21090,-3226,smFISH_Human_L2-L3_2018_04,36,1,-21298.49636,1252.688667
36,8,4,1,8,5,2,8,4,3,43,16618,21180,-2902,smFISH_Human_L2-L3_2018_04,37,1,-21358.006,921.7285458
37,2,1,1,1,0,0,2,1,4,12,20646,21044,-2892,smFISH_Human_L2-L3_2018_04,38,1,-21221.66516,924.4068271
38,2,0,1,3,3,0,3,2,2,16,35730,20882,-2808,smFISH_Human_L2-L3_2018_04,39,1,-21052.56181,855.8206783
39,0,0,0,0,0,0,1,0,2,3,15468,21086,-2734,smFISH_Human_L2-L3_2018_04,40,1,-21248.80457,763.1881804
40,0,0,0,0,0,0,0,0,0,0,0,21104,-2602,smFISH_Human_L2-L3_2018_04,41,1,-21254.46331,630.0867954
41,1,0,2,2,0,0,0,0,1,6,22232,21012,-2660,smFISH_Human_L2-L3_2018_04,42,1,-21168.24968,696.3831731
42,1,0,0,2,1,0,1,0,2,7,32940,20838,-2520,smFISH_Human_L2-L3_2018_04,43,1,-20981.99558,573.1540795
43,3,1,1,1,0,0,3,1,2,12,14478,21170,-2516,smFISH_Human_L2-L3_2018_04,44,1,-21312.18806,538.327038
44,2,0,0,1,0,0,0,0,0,3,11804,21060,-2374,smFISH_Human_L2-L3_2018_04,45,1,-21189.47135,407.1606972
45,4,2,1,6,3,1,6,2,1,26,12294,21122,-2416,smFISH_Human_L2-L3_2018_04,46,1,-21255.1052,443.2189598
46,8,7,1,1,2,3,5,5,3,35,27486,20810,-2262,smFISH_Human_L2-L3_2018_04,47,1,-20930.14728,318.8712566
47,0,1,0,0,0,0,0,1,3,5,24818,21428,-1768,smFISH_Human_L2-L3_2018_04,48,1,-21499.57954,230.407268
48,0,0,1,0,0,0,0,0,1,2,29936,20834,-1950,smFISH_Human_L2-L3_2018_04,49,1,-20925.05723,5.990941819
49,0,0,2,1,0,1,1,0,3,8,29956,20540,-2562,smFISH_Human_L2-L3_2018_04,50,1,-20689.18642,642.6580135
50,0,0,1,0,0,1,1,1,0,4,34324,20484,-2696,smFISH_Human_L2-L3_2018_04,51,1,-20645.87784,781.281125
51,4,0,0,1,0,0,2,0,4,11,36492,20140,-2728,smFISH_Human_L2-L3_2018_04,52,1,-20306.33859,845.1019224
52,1,0,1,0,19,0,0,0,4,25,49928,20236,-2100,smFISH_Human_L2-L3_2018_04,53,1,-20343.57927,210.8991699
53,2,1,1,1,0,0,1,0,3,9,38484,20258,-3378,smFISH_Human_L2-L3_2018_04,54,1,-20484.21625,1481.327932
54,1,39,1,0,46,0,55,0,3,145,44372,20202,-3154,smFISH_Human_L2-L3_2018_04,55,1,-20407.64781,1263.499389
55,2,18,0,1,23,0,7,1,3,55,34448,19786,-2416,smFISH_Human_L2-L3_2018_04,56,1,-19924.88338,567.3395626
56,6,3,2,5,3,2,8,1,13,43,28406,19356,-2374,smFISH_Human_L2-L3_2018_04,57,1,-19492.84113,565.4702086
57,1,0,0,1,35,0,3,0,1,41,39580,19788,-2168,smFISH_Human_L2-L3_2018_04,58,1,-19903.83438,320.2263506
58,2,0,0,1,2,0,2,1,6,14,32026,19600,-2116,smFISH_Human_L2-L3_2018_04,59,1,-19711.81644,285.9173229
59,1,0,0,0,4,0,0,0,1,6,15264,19614,-3054,smFISH_Human_L2-L3_2018_04,60,1,-19812.90044,1218.559818
60,1,13,1,1,15,0,6,0,3,40,35320,19734,-3010,smFISH_Human_L2-L3_2018_04,61,1,-19928.29364,1163.601561
61,2,16,1,1,24,0,3,0,2,49,43406,19934,-4720,smFISH_Human_L2-L3_2018_04,62,1,-20286.29558,2847.624901
62,4,1,3,4,3,2,5,2,3,27,39766,19624,-4444,smFISH_Human_L2-L3_2018_04,63,1,-19951.99465,2601.619037
63,2,0,1,3,21,0,3,0,9,39,37110,19408,-4626,smFISH_Human_L2-L3_2018_04,64,1,-19753.83749,2802.899292
64,2,1,0,0,0,0,2,0,4,9,14462,19310,-4234,smFISH_Human_L2-L3_2018_04,65,1,-19619.84272,2421.699342
65,2,0,2,0,9,0,1,7,7,28,40654,19674,-5118,smFISH_Human_L2-L3_2018_04,66,1,-20064.39613,3268.058762
66,0,0,1,0,0,0,1,1,4,7,28744,19482,-4820,smFISH_Human_L2-L3_2018_04,67,1,-19845.54094,2989.1853
67,0,0,0,0,0,0,0,0,2,2,22240,19358,-4134,smFISH_Human_L2-L3_2018_04,68,1,-19658.34465,2317.672418
68,4,5,2,3,2,0,4,4,2,26,19724,20700,-4992,smFISH_Human_L2-L3_2018_04,69,1,-21074.2527,3047.283547
69,3,2,1,0,0,0,4,2,3,15,16844,20764,-4868,smFISH_Human_L2-L3_2018_04,70,1,-21126.45573,2917.873949
70,1,0,1,1,0,0,2,0,0,5,30894,20486,-5016,smFISH_Human_L2-L3_2018_04,71,1,-20863.40796,3091.061341
71,0,45,1,0,46,0,65,1,2,160,37258,20276,-5196,smFISH_Human_L2-L3_2018_04,72,1,-20671.03905,3289.792818
72,20,0,0,0,0,0,89,14,61,184,51396,19046,-4278,smFISH_Human_L2-L3_2018_04,73,0,-19361.07232,2490.035869
73,15,0,3,1,2,2,43,11,44,121,40414,19104,-4582,smFISH_Human_L2-L3_2018_04,74,1,-19447.06448,2787.332603
74,11,1,6,0,0,0,61,19,32,130,30300,18650,-4752,smFISH_Human_L2-L3_2018_04,75,2,-19010.82182,2998.776062
75,23,1,3,3,2,1,63,9,62,167,46870,18696,-4910,smFISH_Human_L2-L3_2018_04,76,2,-19071.3018,3151.819101
76,7,1,0,1,0,0,7,1,10,27,22346,18624,-4242,smFISH_Human_L2-L3_2018_04,77,2,-18937.5529,2493.397328
77,5,0,2,0,0,0,12,1,11,31,29300,18660,-3904,smFISH_Human_L2-L3_2018_04,78,2,-18941.99543,2153.514607
78,26,4,1,3,1,0,54,12,32,133,51708,18546,-3354,smFISH_Human_L2-L3_2018_04,79,2,-18777.39092,1616.48448
79,15,0,0,1,1,1,44,9,30,101,39536,18508,-3618,smFISH_Human_L2-L3_2018_04,80,2,-18764.0821,1882.873059
80,25,3,2,1,1,0,69,13,46,160,35488,18472,-3820,smFISH_Human_L2-L3_2018_04,81,2,-18747.00454,2087.343979
81,3,2,2,1,2,2,17,5,16,50,21428,18422,-4250,smFISH_Human_L2-L3_2018_04,82,2,-18737.16978,2520.129465
82,6,1,1,4,3,0,7,1,13,36,30038,18974,-2664,smFISH_Human_L2-L3_2018_04,83,2,-19139.43563,889.7055353
83,3,0,0,0,0,0,9,1,11,24,21380,19072,-2946,smFISH_Human_L2-L3_2018_04,84,2,-19263.21089,1161.381233
84,3,1,1,1,16,0,2,2,6,32,30348,19028,-3094,smFISH_Human_L2-L3_2018_04,85,2,-19233.15107,1312.828939
85,8,0,14,0,3,0,1,0,3,29,28272,18418,-4830,smFISH_Human_L2-L3_2018_04,86,2,-18787.07178,3097.99259
86,4,1,2,1,1,0,24,4,11,48,19796,18418,-5200,smFISH_Human_L2-L3_2018_04,87,2,-18821.44649,3466.392344
87,11,0,0,0,0,0,29,16,36,92,17926,18258,-5042,smFISH_Human_L2-L3_2018_04,88,2,-18647.45956,3323.940436
88,3,0,2,0,1,0,16,6,26,54,14684,18396,-5040,smFISH_Human_L2-L3_2018_04,89,2,-18784.6769,3309.128245
89,0,0,0,0,6,0,0,0,4,10,22440,18104,-4962,smFISH_Human_L2-L3_2018_04,90,2,-18486.69324,3258.59375
90,9,1,31,0,2,0,11,7,14,75,19284,18170,-4758,smFISH_Human_L2-L3_2018_04,91,2,-18533.45524,3049.344341
91,3,0,2,2,1,0,4,2,7,21,38840,17792,-4530,smFISH_Human_L2-L3_2018_04,92,2,-18135.90783,2857.448394
92,4,1,0,2,1,0,7,5,13,33,39210,17302,-4404,smFISH_Human_L2-L3_2018_04,93,2,-17636.32109,2777.516617
93,29,0,2,2,0,0,226,29,174,462,63770,17832,-4230,smFISH_Human_L2-L3_2018_04,94,2,-18147.86343,2555.029705
94,14,5,4,6,37,1,10,5,11,93,46502,17852,-3974,smFISH_Human_L2-L3_2018_04,95,2,-18143.99335,2298.278809
95,29,4,5,5,5,2,98,18,83,249,47616,18068,-4096,smFISH_Human_L2-L3_2018_04,96,2,-18370.39351,2399.683757
96,3,4,1,0,1,1,12,1,16,39,13738,17848,-3696,smFISH_Human_L2-L3_2018_04,97,2,-18114.18315,2021.852774
97,21,5,5,6,5,0,90,9,58,199,31636,17824,-3536,smFISH_Human_L2-L3_2018_04,98,2,-18075.42221,1864.774484
98,7,2,12,7,4,2,2,5,6,47,25284,18142,-3294,smFISH_Human_L2-L3_2018_04,99,2,-18369.56394,1594.277455
99,4,0,0,0,0,0,0,0,7,11,28202,18034,-3074,smFISH_Human_L2-L3_2018_04,100,2,-18241.59202,1385.262654
100,13,1,0,1,0,0,27,5,19,66,33814,18092,-2806,smFISH_Human_L2-L3_2018_04,101,2,-18274.44273,1113.033282
101,21,1,6,1,1,1,63,16,64,174,43188,18068,-2576,smFISH_Human_L2-L3_2018_04,102,2,-18229.17846,886.2577408
102,6,0,16,0,2,0,9,2,20,55,32102,18068,-2400,smFISH_Human_L2-L3_2018_04,103,2,-18212.82724,711.0189389
103,18,0,3,0,0,0,82,14,71,188,57454,18450,-2224,smFISH_Human_L2-L3_2018_04,104,2,-18576.82388,500.2905634
104,19,1,3,3,1,1,71,10,47,156,35072,18810,-2326,smFISH_Human_L2-L3_2018_04,105,2,-18944.74315,568.4037431
105,22,2,1,3,1,1,83,5,60,178,48188,18604,-2380,smFISH_Human_L2-L3_2018_04,106,2,-18744.65095,641.3085501
106,46,0,1,4,2,0,176,29,143,401,61358,17744,-2398,smFISH_Human_L2-L3_2018_04,107,2,-17890.04273,739.1286932
107,71,3,5,4,2,1,214,30,194,524,93790,17536,-1900,smFISH_Human_L2-L3_2018_04,108,2,-17636.67581,262.6067034
108,8,0,0,0,0,0,26,4,26,64,31530,17236,-2092,smFISH_Human_L2-L3_2018_04,109,2,-17355.811,481.6476984
109,24,0,2,1,0,0,98,23,121,269,67388,17538,-4808,smFISH_Human_L2-L3_2018_04,110,2,-17908.83386,3157.843826
110,15,2,19,3,1,5,13,6,38,102,56328,17188,-4672,smFISH_Human_L2-L3_2018_04,111,2,-17547.71258,3054.948649
111,32,8,6,10,4,1,36,25,111,233,75060,16994,-4562,smFISH_Human_L2-L3_2018_04,112,2,-17344.33212,2963.447899
112,4,0,1,0,0,0,1,0,11,17,23554,17164,-3866,smFISH_Human_L2-L3_2018_04,113,2,-17448.93524,2254.664302
113,1,0,0,1,0,0,2,0,10,14,15078,17034,-3806,smFISH_Human_L2-L3_2018_04,114,2,-17313.92321,2207.001405
114,6,1,2,2,1,0,4,1,6,23,31684,16878,-3894,smFISH_Human_L2-L3_2018_04,115,2,-17166.77351,2309.11393
115,13,0,0,0,0,0,46,16,50,125,39122,17238,-3078,smFISH_Human_L2-L3_2018_04,116,2,-17449.40633,1463.19745
116,6,1,2,1,0,0,2,1,8,21,21256,17344,-2502,smFISH_Human_L2-L3_2018_04,117,2,-17501.43481,879.8407514
117,9,0,3,1,0,0,23,2,22,60,31648,17348,-2260,smFISH_Human_L2-L3_2018_04,118,2,-17482.93458,638.5157802
118,20,1,1,0,0,0,46,13,44,125,45986,18714,-1832,smFISH_Human_L2-L3_2018_04,119,2,-18803.26346,85.45913341
119,0,0,0,0,0,0,3,0,6,9,16810,19016,-1876,smFISH_Human_L2-L3_2018_04,120,2,-19108.04512,101.2116317
120,7,2,0,1,1,0,5,3,1,20,27170,16730,-2272,smFISH_Human_L2-L3_2018_04,121,2,-16868.72228,707.8789496
121,19,4,1,6,4,3,41,8,59,145,52414,16604,-2404,smFISH_Human_L2-L3_2018_04,122,2,-16755.53064,851.0140361
122,3,1,3,2,29,2,14,2,11,67,63226,16444,-2084,smFISH_Human_L2-L3_2018_04,123,2,-16566.49315,547.2627755
123,9,1,2,3,1,0,89,22,68,195,43424,16230,-1906,smFISH_Human_L2-L3_2018_04,124,2,-16336.88168,389.9142171
124,19,0,2,1,4,0,38,22,53,139,42042,16146,-2164,smFISH_Human_L2-L3_2018_04,125,2,-16277.21437,654.6023599
125,4,3,0,5,2,0,3,1,5,23,33150,16038,-2324,smFISH_Human_L2-L3_2018_04,126,2,-16184.54621,823.9440631
126,6,1,2,2,1,0,8,1,19,40,37448,15910,-1856,smFISH_Human_L2-L3_2018_04,127,2,-16013.62044,369.8599523
127,2,3,7,0,3,0,6,6,4,31,24732,16060,-1848,smFISH_Human_L2-L3_2018_04,128,2,-16162.22846,347.9588557
128,3,1,1,1,7,0,2,1,10,26,42082,16722,-3216,smFISH_Human_L2-L3_2018_04,129,2,-16948.45886,1648.539397
129,39,22,12,15,7,7,53,36,138,329,69840,16974,-3144,smFISH_Human_L2-L3_2018_04,130,2,-17192.67983,1553.438826
130,23,2,1,2,1,0,53,9,44,135,54050,16562,-3928,smFISH_Human_L2-L3_2018_04,131,2,-16855.29897,2372.324748
131,1,1,0,0,0,0,1,0,0,3,20030,16518,-5086,smFISH_Human_L2-L3_2018_04,132,2,-16919.07284,3529.404215
132,20,3,5,3,2,1,66,16,73,189,33206,17076,-5048,smFISH_Human_L2-L3_2018_04,133,2,-17471.12912,3439.727773
133,13,3,24,7,5,3,16,7,14,92,27404,16936,-5004,smFISH_Human_L2-L3_2018_04,134,2,-17327.64682,3408.924723
134,15,2,4,2,2,1,23,14,38,101,37450,16326,-4650,smFISH_Human_L2-L3_2018_04,135,2,-16687.39682,3113.127601
135,2,1,1,0,1,1,1,2,16,25,44784,16244,-4494,smFISH_Human_L2-L3_2018_04,136,2,-16591.25834,2965.42048
136,1,0,0,0,2,0,0,1,2,6,15910,16894,-4052,smFISH_Human_L2-L3_2018_04,137,2,-17197.38325,2464.944108
137,16,3,1,1,18,0,7,2,7,55,42602,16186,-3844,smFISH_Human_L2-L3_2018_04,138,2,-16473.12117,2323.620193
138,16,0,0,0,1,0,39,10,45,111,41680,16264,-3450,smFISH_Human_L2-L3_2018_04,139,2,-16514.1794,1924.077676
139,9,0,0,1,2,0,8,2,18,40,20688,16308,-3182,smFISH_Human_L2-L3_2018_04,140,2,-16533.09065,1653.148969
140,20,0,2,1,0,0,54,27,68,172,38372,16286,-3032,smFISH_Human_L2-L3_2018_04,141,2,-16497.2501,1505.841619
141,35,6,2,3,1,1,95,25,105,273,66370,15882,-2716,smFISH_Human_L2-L3_2018_04,142,2,-16065.63953,1228.741792
142,3,0,0,2,0,0,2,0,7,14,26832,16042,-3270,smFISH_Human_L2-L3_2018_04,143,2,-16276.41671,1765.481005
143,1,1,0,1,0,0,0,0,3,6,32408,15852,-3378,smFISH_Human_L2-L3_2018_04,144,2,-16097.27216,1890.665788
144,2,1,0,2,0,0,2,3,6,16,30102,15584,-3076,smFISH_Human_L2-L3_2018_04,145,3,-15802.37405,1614.870379
145,15,0,0,0,0,0,29,14,46,104,25968,15896,-4044,smFISH_Human_L2-L3_2018_04,146,2,-16202.95635,2549.697541
146,1,0,2,0,0,0,0,4,8,15,36848,15472,-3374,smFISH_Human_L2-L3_2018_04,147,3,-15718.54403,1921.986852
147,14,1,5,2,20,0,2,0,4,48,34534,14826,-3680,smFISH_Human_L2-L3_2018_04,148,3,-15103.7668,2286.679805
148,26,12,2,3,2,2,12,4,69,132,52038,14928,-3812,smFISH_Human_L2-L3_2018_04,149,3,-15217.58906,2408.632633
149,3,0,2,2,5,0,4,1,6,23,39460,15168,-3118,smFISH_Human_L2-L3_2018_04,150,3,-15392.07524,1695.337061
150,0,0,0,0,0,0,0,0,2,2,9528,14978,-3118,smFISH_Human_L2-L3_2018_04,151,3,-15202.89699,1712.988943
151,3,1,1,0,1,0,2,2,15,25,20808,15420,-2682,smFISH_Human_L2-L3_2018_04,152,3,-15602.47892,1237.810786
152,15,1,2,4,3,1,33,21,70,150,44914,15498,-2318,smFISH_Human_L2-L3_2018_04,153,3,-15646.32428,868.1385202
153,32,21,11,12,6,5,96,33,124,340,67270,15370,-1938,smFISH_Human_L2-L3_2018_04,154,3,-15483.57412,501.6738103
154,19,1,7,0,0,0,34,20,59,140,43230,15600,-4952,smFISH_Human_L2-L3_2018_04,155,0,-15992.59396,3481.270225
155,8,0,0,1,7,0,1,0,5,22,32524,15394,-4984,smFISH_Human_L2-L3_2018_04,156,0,-15790.45786,3532.270182
156,0,0,1,1,0,0,1,0,8,11,29848,15264,-4542,smFISH_Human_L2-L3_2018_04,157,3,-15619.95625,3104.259431
157,29,26,7,29,3,4,21,16,99,234,45252,14518,-4902,smFISH_Human_L2-L3_2018_04,158,3,-14910.62837,3532.009298
158,9,6,35,4,5,3,2,4,14,82,40628,14450,-4726,smFISH_Human_L2-L3_2018_04,159,3,-14826.57125,3363.088012
159,11,6,2,7,3,4,5,5,13,56,28094,14726,-4296,smFISH_Human_L2-L3_2018_04,160,3,-15061.42856,2909.306076
160,12,9,2,6,4,2,8,3,25,71,28280,14888,-4206,smFISH_Human_L2-L3_2018_04,161,3,-15214.36649,2804.644773
161,1,0,1,0,1,0,0,0,0,3,14934,15058,-3014,smFISH_Human_L2-L3_2018_04,162,3,-15272.88891,1602.006371
162,4,0,0,1,0,0,1,0,3,9,18976,15108,-2910,smFISH_Human_L2-L3_2018_04,163,3,-15313.01058,1493.810937
163,1,0,0,0,0,0,0,0,8,9,29858,15080,-2372,smFISH_Human_L2-L3_2018_04,164,3,-15235.14898,960.7391115
164,0,0,2,0,1,0,0,1,6,10,21814,14618,-2228,smFISH_Human_L2-L3_2018_04,165,3,-14761.76885,860.2838549
165,66,44,19,22,20,17,101,41,140,470,83278,14216,-2746,smFISH_Human_L2-L3_2018_04,166,3,-14409.6321,1413.391177
166,40,29,8,10,6,4,55,35,119,306,52496,14456,-3028,smFISH_Human_L2-L3_2018_04,167,3,-14674.79322,1671.874416
167,20,0,1,2,17,0,90,17,85,232,49890,16010,-4170,smFISH_Human_L2-L3_2018_04,168,2,-16328.16929,2664.561463
168,4,3,2,3,2,0,2,1,0,17,13728,14466,-3402,smFISH_Human_L2-L3_2018_04,169,3,-14719.4963,2043.327823
169,1,1,0,1,0,0,0,0,2,5,21548,14564,-3408,smFISH_Human_L2-L3_2018_04,170,3,-14817.62988,2040.197218
170,0,0,2,0,6,0,0,3,2,13,23778,14242,-3558,smFISH_Human_L2-L3_2018_04,171,3,-14510.95822,2219.463765
171,1,1,0,1,2,0,1,0,1,7,19710,14232,-3392,smFISH_Human_L2-L3_2018_04,172,3,-14485.5793,2055.11076
172,1,2,1,1,1,1,2,1,4,14,35956,13458,-3578,smFISH_Human_L2-L3_2018_04,173,3,-13732.20711,2312.214505
173,40,13,0,7,3,1,26,17,120,227,49730,14004,-4144,smFISH_Human_L2-L3_2018_04,174,3,-14328.42969,2825.040627
174,18,21,3,20,4,3,21,8,88,186,44568,14582,-4422,smFISH_Human_L2-L3_2018_04,175,3,-14929.75734,3048.139396
175,11,0,7,3,0,0,16,11,61,109,27832,14408,-4518,smFISH_Human_L2-L3_2018_04,176,3,-14765.42873,3159.889605
176,2,0,0,0,0,0,1,0,10,13,30652,14124,-4514,smFISH_Human_L2-L3_2018_04,177,3,-14482.28541,3182.291823
177,1,2,1,3,1,1,1,1,4,15,24336,13432,-4328,smFISH_Human_L2-L3_2018_04,178,3,-13775.99804,3061.386284
178,2,1,0,2,1,0,4,0,5,15,35598,13452,-3280,smFISH_Human_L2-L3_2018_04,179,3,-13698.54748,2016.06078
179,28,18,6,11,8,2,30,26,102,231,57450,13644,-2936,smFISH_Human_L2-L3_2018_04,180,3,-13857.75788,1655.710885
180,55,74,8,11,5,2,37,21,177,390,75222,13376,-2884,smFISH_Human_L2-L3_2018_04,181,3,-13586.08594,1628.834228
181,26,28,9,8,9,9,42,19,75,225,61280,12992,-3030,smFISH_Human_L2-L3_2018_04,182,3,-13217.31081,1809.878163
182,8,3,5,26,4,3,5,7,37,98,34296,13092,-4554,smFISH_Human_L2-L3_2018_04,183,3,-13458.46499,3317.996415
183,3,0,0,0,0,0,0,2,9,14,32346,13910,-2130,smFISH_Human_L2-L3_2018_04,184,3,-14047.72629,828.484191
184,8,4,1,5,2,1,4,4,8,37,39292,12886,-2186,smFISH_Human_L2-L3_2018_04,185,3,-13033.35774,979.3763459
185,1,2,0,1,0,1,0,0,1,6,24738,13194,-2150,smFISH_Human_L2-L3_2018_04,186,3,-13336.68108,914.9174155
186,15,6,17,10,7,1,3,3,24,86,63494,13532,-2228,smFISH_Human_L2-L3_2018_04,187,3,-13680.46579,961.178297
187,21,5,3,7,4,3,9,7,57,116,55306,12186,-2044,smFISH_Human_L2-L3_2018_04,188,3,-12323.19277,903.0237443
188,39,38,8,9,9,5,54,27,114,303,77354,12654,-2134,smFISH_Human_L2-L3_2018_04,189,3,-12797.5301,949.1551225
189,4,0,0,2,14,0,3,0,8,31,31384,12724,-1920,smFISH_Human_L2-L3_2018_04,190,3,-12847.34575,729.5773451
190,1,1,3,1,31,0,3,0,4,44,33498,13334,-1654,smFISH_Human_L2-L3_2018_04,191,3,-13429.99487,408.0559601
191,5,0,2,2,0,0,0,0,5,14,28478,13462,-1712,smFISH_Human_L2-L3_2018_04,192,3,-13562.82975,453.9133164
192,6,10,3,10,8,3,13,12,28,93,25508,14350,-2042,smFISH_Human_L2-L3_2018_04,193,3,-14477.64769,699.9867472
193,1,1,0,0,0,0,1,0,3,6,24996,13018,-3328,smFISH_Human_L2-L3_2018_04,194,3,-13270.88394,2104.173795
194,1,0,1,0,0,0,0,0,1,3,27702,12834,-2796,smFISH_Human_L2-L3_2018_04,195,3,-13038.25447,1591.569144
195,9,3,8,2,3,1,3,1,6,36,46642,12766,-3246,smFISH_Human_L2-L3_2018_04,196,3,-13012.35566,2045.940415
196,5,0,1,2,6,0,2,19,14,49,40930,12424,-3050,smFISH_Human_L2-L3_2018_04,197,3,-12653.6255,1882.5615
197,4,0,0,1,16,0,2,1,2,26,43132,12034,-2984,smFISH_Human_L2-L3_2018_04,198,3,-12259.18054,1853.07976
198,28,28,4,35,5,3,26,14,96,239,57116,12336,-3290,smFISH_Human_L2-L3_2018_04,199,3,-12588.30321,2129.699111
199,6,3,0,2,0,0,4,0,7,22,41870,12356,-3664,smFISH_Human_L2-L3_2018_04,200,3,-12642.96305,2500.223473
200,3,1,0,3,1,0,2,1,5,16,22038,12476,-3460,smFISH_Human_L2-L3_2018_04,201,3,-12743.4915,2285.957213
201,10,7,0,29,1,0,4,3,29,83,33146,12614,-3742,smFISH_Human_L2-L3_2018_04,202,3,-12907.09376,2553.916726
202,0,2,1,0,0,0,0,0,2,5,25094,12890,-3890,smFISH_Human_L2-L3_2018_04,203,3,-13195.64995,2675.634946
