,CUX2,COL5A2,PENK,CARTPT,GAD2,RXFP1,LAMP5,CBLN2,SLC17A7,totalReads,area,x,y,experimentName,ROI_ID,layerData,layerCoordinate,lateralCoordinate
0,0,0,0,1,0,0,1,0,0,2,16416,22266,-4400,smFISH_Human_L2-L3_2018_04,1,1,-22578.48022,2312.35527
1,2,1,1,1,1,0,1,1,0,8,23244,22154,-5092,smFISH_Human_L2-L3_2018_04,2,1,-22531.25463,3011.767697
2,17,11,8,5,1,1,16,7,8,74,23566,21740,-4736,smFISH_Human_L2-L3_2018_04,3,1,-22085.97113,2695.769916
3,8,6,5,6,4,5,5,5,4,48,19140,21748,-4606,smFISH_Human_L2-L3_2018_04,4,1,-22081.85892,2565.588927
4,0,0,1,0,0,0,1,0,4,6,27322,21632,-4450,smFISH_Human_L2-L3_2018_04,5,1,-21951.8675,2421.040564
5,6,1,2,3,0,0,7,2,5,26,42612,21642,-4146,smFISH_Human_L2-L3_2018_04,6,1,-21933.58124,2117.426314
6,2,0,0,2,0,0,2,0,1,7,21884,21818,-3920,smFISH_Human_L2-L3_2018_04,7,1,-22087.82359,1876.052545
7,3,0,1,5,0,0,6,2,0,17,16292,21968,-3900,smFISH_Human_L2-L3_2018_04,8,1,-22235.31675,1842.203348
8,6,3,3,3,3,2,5,3,4,32,18798,21922,-3686,smFISH_Human_L2-L3_2018_04,9,1,-22169.6341,1633.402509
9,4,2,1,10,6,0,3,2,0,28,22448,21840,-3558,smFISH_Human_L2-L3_2018_04,10,1,-22076.09696,1513.574289
10,0,1,1,0,1,1,1,1,2,8,14822,22062,-3662,smFISH_Human_L2-L3_2018_04,11,1,-22306.79889,1596.499659
11,2,0,0,1,0,0,0,0,0,3,25458,21828,-2566,smFISH_Human_L2-L3_2018_04,12,1,-21971.98745,526.9795335
12,3,0,1,0,0,0,3,1,4,12,26576,21880,-5174,smFISH_Human_L2-L3_2018_04,13,1,-22266.05786,3118.868921
13,5,2,2,3,1,2,5,2,5,27,31872,21186,-5006,smFISH_Human_L2-L3_2018_04,14,1,-21559.45142,3016.071341
14,3,3,2,5,2,0,5,2,1,23,27040,20930,-5190,smFISH_Human_L2-L3_2018_04,15,1,-21321.65307,3223.059131
15,1,0,0,0,1,0,3,0,1,6,16590,21384,-3060,smFISH_Human_L2-L3_2018_04,16,1,-21575.80264,1060.09265
16,0,0,4,1,11,0,10,0,1,27,27550,21370,-2922,smFISH_Human_L2-L3_2018_04,17,1,-21549.04235,923.9901638
