,CUX2,COL5A2,PENK,CARTPT,GAD2,RXFP1,LAMP5,CBLN2,SLC17A7,totalReads,area,x,y,experimentName,ROI_ID,layerData,layerCoordinate,lateralCoordinate
0,1,3,1,1,1,0,1,1,1,10,21816,939,-945.4238679,smFISH_Human_L2-L3_Replicate2,1,1,1074.885967,787.5071104
1,0,0,0,0,0,0,0,0,1,1,22566,621,-1269.423868,smFISH_Human_L2-L3_Replicate2,2,1,811.2743904,1157.113573
2,1,1,1,1,1,1,1,0,4,11,24120,1488,-1413.423868,smFISH_Human_L2-L3_Replicate2,3,1,1690.122827,1164.214697
3,0,22,0,0,38,0,0,0,1,61,20067,1635,-1731.423868,smFISH_Human_L2-L3_Replicate2,4,1,1884.892644,1455.415175
4,0,0,1,0,1,0,0,0,1,3,37788,1884,-1257.423868,smFISH_Human_L2-L3_Replicate2,5,1,2056.967136,948.39706
5,0,19,0,0,30,0,0,0,0,49,15807,1983,-186.4238679,smFISH_Human_L2-L3_Replicate2,6,1,1987.820888,124.9438906
6,0,0,0,0,0,0,0,0,4,4,28260,2589,-936.4238679,smFISH_Human_L2-L3_Replicate2,7,1,2703.316274,521.4324336
7,1,1,0,0,16,0,0,0,2,20,25338,2562,-402.4238679,smFISH_Human_L2-L3_Replicate2,8,1,2593.411963,1.832358337
8,0,10,1,0,2,0,0,0,9,22,33864,2799,-273.4238679,smFISH_Human_L2-L3_Replicate2,9,1,2807.408102,166.1967479
9,0,0,0,0,0,0,0,0,6,6,16353,2859,-468.4238679,smFISH_Human_L2-L3_Replicate2,10,1,2897.069314,17.06772497
10,0,0,1,0,0,0,0,0,2,3,25447,2568,-81.42386792,smFISH_Human_L2-L3_Replicate2,11,1,2549.304519,319.844203
11,0,1,0,3,1,0,1,2,2,10,24771,1362,-1806.423868,smFISH_Human_L2-L3_Replicate2,12,1,1626.919556,1572.050873
12,0,0,0,0,1,1,0,0,2,4,16374,261,-2034.423868,smFISH_Human_L2-L3_Replicate2,13,1,574.9146029,1968.8765
13,0,0,1,0,0,0,0,0,2,3,21846,1620,-2349.423868,smFISH_Human_L2-L3_Replicate2,14,1,1966.403331,2068.199809
14,1,0,0,0,0,0,0,9,22,32,14486,2812,-1583.423868,smFISH_Human_L2-L3_Replicate2,15,2,3024.438259,1125.765678
15,1,1,0,1,1,0,1,0,0,5,12184,2942,-1041.423868,smFISH_Human_L2-L3_Replicate2,16,1,3068.368084,570.1271534
