sample_id,cc.min.diff
LS-15502_S02_E1-50,0.223024363
LS-15502_S03_E1-50,0.550955213
LS-15502_S06_E1-50,0.240137338
LS-15502_S07_E1-50,0.040370789
LS-15502_S10_E1-50,0.558283785
LS-15502_S12_E1-50,0.532403044
LS-15502_S25_E1-50,0.634942474
LS-15502_S30_E1-50,0.119610978
LS-15502_S31_E1-50,0.269640592
LS-15502_S34_E1-50,0.622822582
LS-15502_S37_E1-50,0.428633883
LS-15502_S38_E1-50,0.023369876
LS-15502_S73_E1-50,0.578927528
LS-15502_S75_E1-50,0.42897249
LS-15502_S77_E1-50,0.60829168
LS-15503_S02_E1-50,0.229302201
LS-15503_S03_E1-50,0.52563916
LS-15503_S08_E1-50,0.529009051
LS-15503_S14_E1-50,0.551083664
LS-15503_S15_E1-50,0.337893975
LS-15503_S19_E1-50,0.725897888
LS-15503_S38_E1-50,0.461481402
LS-15503_S44_E1-50,0.746778075
LS-15503_S63_E1-50,0.606108431
LS-15503_S83_E1-50,0.862676458
LS-15503_S89_E1-50,0.527595215
LS-15504_S01_E1-50,0.735041936
LS-15504_S04_E1-50,0.40323569
LS-15504_S06_E1-50,0.067875336
LS-15504_S07_E1-50,0.653408712
LS-15504_S11_E1-50,0.329121766
LS-15504_S12_E1-50,0.485042198
LS-15504_S18_E1-50,0.754708719
LS-15504_S27_E1-50,0.646957581
LS-15504_S53_E1-50,0.758588283
LS-15504_S54_E1-50,0.386064321
LS-15504_S59_E1-50,0.478858994
LS-15504_S69_E1-50,0.80853645
LS-15504_S71_E1-50,0.768910168
LS-15504_S77_E1-50,0.46104361
LS-15504_S82_E1-50,0.507448681
LS-15504_S89_E1-50,0.286734313
LS-15504_S91_E1-50,0.607389818
LS-15505_S02_E1-50,0.451836333
LS-15505_S04_E1-50,0.297182909
LS-15505_S05_E1-50,0.419883266
LS-15505_S07_E1-50,0.459669701
LS-15505_S08_E1-50,0.238007897
LS-15505_S10_E1-50,0.60097434
LS-15505_S28_E1-50,0.504473242
LS-15505_S30_E1-50,0.551589852
LS-15505_S36_E1-50,0.310572386
LS-15505_S38_E1-50,0.630664177
LS-15505_S51_E1-50,0.511694467
LS-15505_S54_E1-50,0.87102433
LS-15505_S63_E1-50,0.842079905
LS-15505_S66_E1-50,0.718472785
LS-15505_S79_E1-50,0.841016221
LS-15505_S86_E1-50,0.728407746
LS-15506_S02_E1-50_and_LS-15506_S02_E2-50,0.495719609
LS-15506_S04_E1-50_and_LS-15506_S04_E2-50,0.45086466
LS-15506_S07_E1-50_and_LS-15506_S07_E2-50,0.401186609
LS-15506_S10_E1-50_and_LS-15506_S10_E2-50,0.703922699
LS-15506_S25_E1-50_and_LS-15506_S25_E2-50,0.301232755
LS-15506_S39_E1-50_and_LS-15506_S39_E2-50,0.459026625
LS-15506_S42_E1-50_and_LS-15506_S42_E2-50,0.152522426
LS-15506_S44_E1-50_and_LS-15506_S44_E2-50,0.335691762
LS-15506_S57_E1-50_and_LS-15506_S57_E2-50,0.447967114
LS-15506_S62_E1-50_and_LS-15506_S62_E2-50,0.403107608
LS-15506_S82_E1-50_and_LS-15506_S82_E2-50,0.387193196
LS-15506_S87_E1-50_and_LS-15506_S87_E2-50,0.287400452
LS-15511_S02_E1-50_and_LS-15511_S02_E2-50,0.845724382
LS-15511_S04_E1-50_and_LS-15511_S04_E2-50,0.621071159
LS-15511_S12_E1-50_and_LS-15511_S12_E2-50,0.635277056
LS-15511_S14_E1-50_and_LS-15511_S14_E2-50,0.437096246
LS-15511_S18_E1-50_and_LS-15511_S18_E2-50,0.808956501
LS-15511_S28_E1-50_and_LS-15511_S28_E2-50,0.50512453
LS-15511_S36_E1-50_and_LS-15511_S36_E2-50,0.575585504
LS-15511_S38_E1-50_and_LS-15511_S38_E2-50,0.833919253
LS-15511_S51_E1-50_and_LS-15511_S51_E2-50,0.825816315
LS-15511_S59_E1-50_and_LS-15511_S59_E2-50,0.405742036
LS-15511_S63_E1-50_and_LS-15511_S63_E2-50,0.435853673
LS-15511_S73_E1-50_and_LS-15511_S73_E2-50,0.57501488
LS-15511_S77_E1-50_and_LS-15511_S77_E2-50,0.492735888
LS-15512_S15_E1-50,0.307761004
LS-15512_S17_E1-50,0.139967113
LS-15512_S18_E1-50,0.386287139
LS-15512_S22_E1-50,0.430605674
LS-15512_S23_E1-50,0.392872001
LS-15512_S27_E1-50,0.590523811
LS-15512_S28_E1-50,0.440169727
LS-15512_S30_E1-50,0.731161068
LS-15512_S42_E1-50,0.601686943
LS-15512_S43_E1-50,0.316155808
LS-15512_S44_E1-50,0.698145334
LS-15512_S46_E1-50,0.259571247
LS-15512_S47_E1-50,0.540042105
LS-15512_S49_E1-50,0.577471321
LS-15512_S53_E1-50,0.428145891
LS-15512_S58_E1-50,0.58189302
LS-15512_S63_E1-50,0.098167653
LS-15512_S71_E1-50,0.487321913
LS-15512_S74_E1-50,0.348205132
LS-15512_S86_E1-50,0.876876397
LS-15516_S05_E1-50,0.671948656
LS-15516_S31_E1-50,0.500237645
LS-15516_S46_E1-50,0.332725135
LS-15516_S48_E1-50,0.81574586
LS-15516_S54_E1-50,0.43295159
LS-15516_S61_E1-50,0.416552945
LS-15516_S68_E1-50,0.748456586
LS-15516_S73_E1-50,0.808231
LS-15516_S78_E1-50,0.743231053
LS-15516_S84_E1-50,0.570957414
LS-15516_S91_E1-50,0.838261018
LS-15516_S93_E1-50,0.57572708
LS-15518_S05_E1-50,0.6408633
LS-15518_S09_E1-50,0.621239398
LS-15518_S12_E1-50,0.497519871
LS-15518_S15_E1-50,0.291683785
LS-15518_S20_E1-50,0.245315292
LS-15518_S21_E1-50,0.641091416
LS-15518_S25_E1-50,0.705613811
LS-15518_S42_E1-50,0.375560211
LS-15518_S45_E1-50,0.002324709
LS-15518_S68_E1-50,0.631901783
LS-15518_S71_E1-50,0.556903806
LS-15518_S76_E1-50,0.453101981
LS-15518_S79_E1-50,0.311752594
LS-15518_S84_E1-50,0.38118471
LS-15518_S94_E1-50,0.217153675
LS-15518_S95_E1-50,0.661375361
LS-15523_S04_E1-50,0.511999902
LS-15523_S07_E1-50,0.336070782
LS-15523_S10_E1-50,0.587161183
LS-15523_S13_E1-50,0.355546662
LS-15523_S14_E1-50,0.699040798
LS-15523_S20_E1-50,0.511678344
LS-15523_S23_E1-50,0.527301698
LS-15523_S25_E1-50,0.579872777
LS-15523_S26_E1-50,0.093968703
LS-15523_S28_E1-50,0.374437743
LS-15523_S29_E1-50,0.356382029
LS-15523_S38_E1-50,0.637021509
LS-15523_S42_E1-50,0.193108871
LS-15523_S47_E1-50,0.143440082
LS-15523_S66_E1-50,0.709825707
