,CUX2,COL5A2,PENK,CARTPT,GAD2,RXFP1,LAMP5,CBLN2,SLC17A7,totalReads,area,x,y,experimentName,ROI_ID,layerData,layerCoordinate,lateralCoordinate
0,0,1,0,3,1,0,2,0,5,12,24414,268.5049599,-2207.814056,smFISH_Human_L2-L3_Replicate3,1,1,452.0458466,2177.657542
1,0,0,1,0,0,0,0,0,1,2,16179,607.5049599,-3224.814056,smFISH_Human_L2-L3_Replicate3,2,1,874.8385244,3162.774972
2,0,0,0,0,0,0,0,0,1,1,10380,61.50495989,-1937.814056,smFISH_Human_L2-L3_Replicate3,3,0,223.2091589,1925.898192
3,0,0,0,0,0,0,0,0,0,0,20265,136.5049599,-1445.814056,smFISH_Human_L2-L3_Replicate3,4,1,256.836491,1429.351918
4,0,0,1,0,0,0,0,0,1,2,23334,646.5049599,-1163.814056,smFISH_Human_L2-L3_Replicate3,5,1,741.4897194,1105.723661
5,0,0,0,0,0,0,0,0,1,1,21360,922.5049599,-866.8140555,smFISH_Human_L2-L3_Replicate3,6,1,991.7078941,786.7003627
6,3,1,2,1,1,1,2,0,5,16,43158,640.5049599,-644.8140555,smFISH_Human_L2-L3_Replicate3,7,1,692.1442555,589.0399812
7,0,1,0,0,0,0,1,0,1,3,25731,937.5049599,-125.8140555,smFISH_Human_L2-L3_Replicate3,8,1,944.7391825,47.03831814
8,0,0,1,0,0,0,0,0,0,1,15804,1114.50496,-2084.814056,smFISH_Human_L2-L3_Replicate3,9,1,1284.809737,1984.397866
9,0,1,0,0,0,0,0,0,0,1,15603,127.5049599,-2123.814056,smFISH_Human_L2-L3_Replicate3,10,1,304.5200852,2105.732931
10,0,0,0,0,0,0,0,0,2,2,24354,259.5049599,-1196.814056,smFISH_Human_L2-L3_Replicate3,11,1,358.6004855,1170.945088
11,0,0,0,0,0,0,0,0,4,4,18576,277.5049599,-944.8140555,smFISH_Human_L2-L3_Replicate3,12,1,355.480998,918.3223085
12,3,2,3,3,2,3,3,2,4,25,19056,160.5049599,-1058.814056,smFISH_Human_L2-L3_Replicate3,13,1,248.4157317,1041.699895
13,4,4,3,3,3,1,3,2,9,32,44808,511.5049599,-1613.814056,smFISH_Human_L2-L3_Replicate3,14,1,644.5627874,1565.430274
14,0,4,0,0,11,0,1,0,1,17,13050,1270.50496,-482.8140555,smFISH_Human_L2-L3_Replicate3,15,1,1306.404761,374.9651539
15,0,1,0,0,12,0,0,0,1,14,22761,1408.50496,-644.8140555,smFISH_Human_L2-L3_Replicate3,16,1,1457.458514,524.8676677
16,0,16,0,0,48,0,0,1,2,67,36708,1117.50496,-1121.814056,smFISH_Human_L2-L3_Replicate3,17,1,1207.333181,1024.514861
17,0,3,1,1,13,0,0,0,0,18,25608,1624.50496,-1361.814056,smFISH_Human_L2-L3_Replicate3,18,1,1732.61402,1221.311813
18,0,3,0,0,17,0,0,3,1,24,22191,1510.50496,-1700.814056,smFISH_Human_L2-L3_Replicate3,19,1,1647.338745,1568.651888
19,0,1,0,0,2,0,0,1,4,8,27729,1615.50496,-1817.814056,smFISH_Human_L2-L3_Replicate3,20,1,1761.747805,1676.469173
20,0,0,0,0,1,0,0,0,1,2,25281,1447.50496,-2174.814056,smFISH_Human_L2-L3_Replicate3,21,1,1624.16541,2046.258417
21,0,0,1,0,0,0,0,0,2,3,23403,1372.50496,-2393.814056,smFISH_Human_L2-L3_Replicate3,22,1,1567.726825,2270.759388
22,0,2,0,0,1,0,0,0,2,5,19770,1681.50496,-2747.814056,smFISH_Human_L2-L3_Replicate3,23,1,1905.22566,2597.7021
23,2,1,0,2,1,0,2,5,0,13,8757,1654.50496,-2489.814056,smFISH_Human_L2-L3_Replicate3,24,1,1856.762194,2342.860399
24,0,0,0,0,0,0,0,0,2,2,19275,2086.50496,-2921.814056,smFISH_Human_L2-L3_Replicate3,25,2,2323.348391,2737.252743
25,2,0,3,0,0,0,0,9,24,38,24144,2506.50496,-2873.814056,smFISH_Human_L2-L3_Replicate3,26,2,2737.868856,2654.326368
26,4,2,0,0,0,0,1,10,44,61,25296,2467.50496,-2567.814056,smFISH_Human_L2-L3_Replicate3,27,2,2673.436585,2352.655218
