sample_name,exp_component_name,cl.sep,PE-A Mean,FSC-A Mean,SSC-A Mean,DAPI-A Mean,cluster,cluster_type
F1S4_170118_004_D01,SM-D9D7S_S28_E1-50,0.78839763,1680,55683,7400,8869,Inh L1-2 PAX6 CDH12,inh
F1S4_170207_025_B01,SM-D9D8L_S18_E1-50,0.793525473,1477,33326,13993,8886,Inh L1-2 PAX6 CDH12,inh
F1S4_170321_006_A01,SM-D9D8X_S25_E1-50,0.778442692,2100,45337,11907,4798,Inh L1-2 PAX6 CDH12,inh
F1S4_170321_006_B01,SM-D9D8X_S26_E1-50,0.800338193,1689,46165,10305,4865,Inh L1-2 PAX6 CDH12,inh
F1S4_170321_014_B01,SM-D9D8Z_S26_E1-50,0.786155498,1673,48506,10310,5474,Inh L1-2 PAX6 CDH12,inh
F1S4_170321_019_B01,SM-D9D92_S02_E1-50,0.803878708,1726,43808,13727,5539,Inh L1-2 PAX6 CDH12,inh
F1S4_170321_021_E01,SM-D9D92_S21_E1-50,0.801696061,1594,44485,13222,5797,Inh L1-2 PAX6 CDH12,inh
F1S4_170321_022_C01,SM-D9D92_S27_E1-50,0.773458062,2190,62167,15805,5685,Inh L1-2 PAX6 CDH12,inh
F1S4_170321_024_E01,SM-D9D93_S13_E1-50,0.793499803,1258,54443,12235,5646,Inh L1-2 PAX6 CDH12,inh
F1S4_170125_090_C01,SM-D9D6Q_S91_E1-50,0.730866929,731,38721,9102,8784,Inh L4-5 SST STK32A,inh
F1S4_170125_091_G01,SM-D9D6T_S15_E1-50,0.745357969,NA,NA,NA,NA,Inh L4-5 SST STK32A,inh
F1S4_170125_094_F01,SM-D9D6T_S38_E1-50,0.768226828,1485,47638,12544,9350,Inh L4-5 SST STK32A,inh
F1S4_170125_100_F01,SM-D9D6W_S62_E1-50,0.753713156,991,46531,14376,8874,Inh L4-5 SST STK32A,inh
F1S4_170222_110_D01,SM-D9D83_S52_E1-50,0.748034228,1270,42992,10943,9530,Inh L4-5 SST STK32A,inh
F1S4_170302_084_G01,SM-D9D82_S79_E1-50,0.745432173,NA,46775,7873,8007,Inh L4-5 SST STK32A,inh
F1S4_170419_032_F01,SM-D9E5Z_S78_E1-50,0.733969401,700,19879,3380,5175,Inh L4-5 SST STK32A,inh
F1S4_170419_046_F01,SM-D9EQ4_S46_E1-50,0.73934936,1664,29435,5862,5466,Inh L4-5 SST STK32A,inh
F1S4_170419_051_H01,SM-D9EQ2_S24_E1-50,0.745181352,961,39724,24153,5762,Inh L4-5 SST STK32A,inh
F1S4_170419_052_H01,SM-D9EQ2_S32_E1-50,0.776322631,486,23034,4361,5637,Inh L4-5 SST STK32A,inh
F1S4_170118_127_C01,SM-D9CZS_S51_E1-50,0.57172587,463,56793,22185,8828,Inh L5-6 SST KLHDC8A,inh
F1S4_170118_128_D01,SM-D9CZD_S92_E1-50,0.555079196,2582,40568,10145,9019,Inh L5-6 SST KLHDC8A,inh
F1S4_170215_137_F01,SM-D9EQG_S22_E1-50,0.670820148,1234,38355,12609,10673,Inh L5-6 SST KLHDC8A,inh
F1S4_170215_143_G01,SM-D9E6M_S31_E1-50,0.489432479,941,43808,9784,10728,Inh L5-6 SST KLHDC8A,inh
F1S4_170215_148_A01,SM-D9E6O_S17_E1-50,0.668085752,2228,28756,11774,11667,Inh L5-6 SST KLHDC8A,inh
F1S4_170323_140_G01,SM-D9D98_S23_E1-50,0.640541899,3076,34092,10643,4818,Inh L5-6 SST KLHDC8A,inh
F1S4_170419_032_H01,SM-D9E5Z_S80_E1-50,0.501688475,876,26729,5176,4962,Inh L5-6 SST KLHDC8A,inh
F1S4_170419_039_F01,SM-D9EQ5_S22_E1-50,0.591752375,558,20920,4303,5305,Inh L5-6 SST KLHDC8A,inh
F1S4_170419_043_D01,SM-D9EQ4_S20_E1-50,0.488426079,NA,NA,NA,NA,Inh L5-6 SST KLHDC8A,inh
F1S4_170118_123_G01,SM-D9D15_S07_E1-50,0.476946602,2186,75628,14270,10463,Inh L4-6 SST B3GAT2,inh
F1S4_170118_131_A01,SM-D9CZO_S89_E1-50,0.479178611,1809,38431,8884,8049,Inh L4-6 SST B3GAT2,inh
F1S4_170118_146_C01,SM-D9CZX_S91_E1-50,0.457922463,703,54394,5190,8210,Inh L4-6 SST B3GAT2,inh
F1S4_170125_090_A01,SM-D9D6Q_S89_E1-50,0.475905411,NA,NA,NA,NA,Inh L4-6 SST B3GAT2,inh
F1S4_170125_123_B01,SM-D9D75_S18_E1-50,0.523779969,1669,59927,9612,9422,Inh L4-6 SST B3GAT2,inh
F1S4_170215_101_F01,SM-D9D7F_S94_E1-50,0.474863104,466,31549,5832,9039,Inh L4-6 SST B3GAT2,inh
F1S4_170215_149_A01,SM-D9E6O_S25_E1-50,0.472536898,NA,NA,NA,NA,Inh L4-6 SST B3GAT2,inh
F1S4_170215_153_F01,SM-D9E6Q_S06_E1-50,0.467671452,NA,NA,NA,NA,Inh L4-6 SST B3GAT2,inh
F1S4_170419_051_D01,SM-D9EQ2_S20_E1-50,0.471766222,NA,NA,NA,NA,Inh L4-6 SST B3GAT2,inh
F1S4_170419_052_F01,SM-D9EQ2_S30_E1-50,0.476111094,2201,16589,5824,5964,Inh L4-6 SST B3GAT2,inh
F1S4_170125_015_A01,SM-D9D11_S25_E1-50,0.67241869,650,55578,10004,8505,Inh L1-3 VIP ADAMTSL1,inh
F1S4_170125_065_E01,SM-D9D7E_S13_E1-50,0.684617016,1292,49327,13376,8573,Inh L1-3 VIP ADAMTSL1,inh
F1S4_170207_034_C01,SM-D9D8N_S11_E1-50,0.689237429,1814,60533,9394,9188,Inh L1-3 VIP ADAMTSL1,inh
F1S4_170207_034_G01,SM-D9D8N_S15_E1-50,0.714430664,1555,56948,17890,9270,Inh L1-3 VIP ADAMTSL1,inh
F1S4_170215_143_D01,SM-D9E6M_S28_E1-50,0.707802798,432,27092,9708,10415,Inh L1-3 VIP ADAMTSL1,inh
F1S4_170302_002_E01,SM-D9D7Z_S61_E1-50,0.702143804,667,58530,10892,8833,Inh L1-3 VIP ADAMTSL1,inh
F1S4_170302_086_A01,SM-D9D82_S89_E1-50,0.672415833,NA,61814,10610,8388,Inh L1-3 VIP ADAMTSL1,inh
F1S4_170321_008_G01,SM-D9D8Y_S15_E1-50,0.687268302,1534,42148,11015,5372,Inh L1-3 VIP ADAMTSL1,inh
F1S4_170321_022_D01,SM-D9D92_S28_E1-50,0.703510089,2810,73919,20233,5965,Inh L1-3 VIP ADAMTSL1,inh
F1S4_170321_036_G01,SM-D9D8L_S71_E1-50,0.676534314,1803,42008,18285,7027,Inh L1-3 VIP ADAMTSL1,inh
F1S4_170117_004_F01,SM-D9D6S_S06_E1-50,0.672668917,2215,44677,22228,10354,Inh L1-3 VIP GGH,inh
F1S4_170117_066_E01,SM-D9CZX_S37_E1-50,0.675952865,1773,46201,12613,12081,Inh L1-3 VIP GGH,inh
F1S4_170125_042_A01,SM-D9D6Y_S41_E1-50,0.686104387,1293,51177,11645,8914,Inh L1-3 VIP GGH,inh
F1S4_170125_044_D01,SM-D9CZS_S92_E1-50,0.716213802,2545,86810,17162,10341,Inh L1-3 VIP GGH,inh
F1S4_170207_010_B01,SM-D9D7I_S50_E1-50,0.699686039,1606,35805,11208,8420,Inh L1-3 VIP GGH,inh
F1S4_170207_010_F01,SM-D9D7I_S54_E1-50,0.729397468,2063,61726,17126,9525,Inh L1-3 VIP GGH,inh
F1S4_170207_016_C01,SM-D9D7K_S59_E1-50,0.692512574,1530,50621,16791,9473,Inh L1-3 VIP GGH,inh
F1S4_170207_052_G01,SM-D9D7L_S71_E1-50,0.685004361,5888,60823,24240,8877,Inh L1-3 VIP GGH,inh
F1S4_170323_053_B01,SM-D9E5H_S42_E1-50,0.723756229,1332,45700,16980,4926,Inh L1-3 VIP GGH,inh
F1S4_170413_131_G01,SM-D9E5Z_S55_E1-50,0.717604413,NA,NA,NA,NA,Inh L1-3 VIP GGH,inh
F1S4_170118_002_A01,SM-D9D7R_S01_E1-50,0.354482779,2003,48103,15023,8819,Inh L1-2 LAMP5 DBP,inh
F1S4_170207_003_F01,SM-D9D7F_S86_E1-50,0.336630344,801,47797,8437,9520,Inh L1-2 LAMP5 DBP,inh
F1S4_170321_015_E01,SM-D9D91_S05_E1-50,0.381530017,1471,63445,8144,5816,Inh L1-2 LAMP5 DBP,inh
F1S4_170321_023_F01,SM-D9D93_S06_E1-50,0.367263818,1222,45340,11255,5645,Inh L1-2 LAMP5 DBP,inh
F1S4_170322_003_F01,SM-D9D8W_S54_E1-50,0.348577829,2260,53957,12305,4899,Inh L1-2 LAMP5 DBP,inh
F1S4_170322_006_E01,SM-D9D8M_S85_E1-50,0.350224342,2438,52662,16451,4999,Inh L1-2 LAMP5 DBP,inh
F1S4_170117_042_F01,SM-D9D6W_S14_E1-50,0.670409159,5252,115482,18629,12310,Inh L2-4 VIP CBLN1,inh
F1S4_170117_066_D01,SM-D9CZX_S36_E1-50,0.583286847,2163,48289,16217,8916,Inh L2-4 VIP CBLN1,inh
F1S4_170125_007_B01,SM-D9CZG_S82_E1-50,0.480100447,4145,60837,17071,9488,Inh L2-4 VIP CBLN1,inh
F1S4_170215_071_G01,SM-D9D6S_S95_E1-50,0.62424785,1061,42310,9615,9314,Inh L2-4 VIP CBLN1,inh
F1S4_170222_107_F01,SM-D9D83_S30_E1-50,0.615766091,1497,43556,17772,9316,Inh L2-4 VIP CBLN1,inh
F1S4_170419_038_H01,SM-D9EQ6_S48_E1-50,0.533403105,1254,27356,4973,5332,Inh L2-4 VIP CBLN1,inh
F1S4_170207_005_B01,SM-D9D7H_S82_E1-50,0.58472473,1558,59722,26315,10548,Inh L1-2 VIP PCDH20,inh
F1S4_170207_008_A01,SM-D9D7I_S25_E1-50,0.533898316,1156,52970,12235,7913,Inh L1-2 VIP PCDH20,inh
F1S4_170207_045_D01,SM-D9D7I_S76_E1-50,0.485851264,2517,64405,17125,8247,Inh L1-2 VIP PCDH20,inh
F1S4_170302_024_A01,SM-D9D7I_S81_E1-50,0.535778039,888,48165,11196,8215,Inh L1-2 VIP PCDH20,inh
F1S4_170321_013_B01,SM-D9D8Z_S18_E1-50,0.520302117,1380,41869,15206,5676,Inh L1-2 VIP PCDH20,inh
F1S4_170321_013_E01,SM-D9D8Z_S21_E1-50,0.59389736,2072,44835,12007,5952,Inh L1-2 VIP PCDH20,inh
F1S4_170321_014_E01,SM-D9D8Z_S29_E1-50,0.541639501,1537,47602,13153,5528,Inh L1-2 VIP PCDH20,inh
F1S4_170321_029_B01,SM-D9D96_S02_E1-50,0.55386557,1821,42561,19144,6349,Inh L1-2 VIP PCDH20,inh
F1S4_170322_003_B01,SM-D9D8W_S50_E1-50,0.552819127,2532,73918,22217,4895,Inh L1-2 VIP PCDH20,inh
F1S4_170125_081_B01,SM-D9D12_S34_E1-50,0.501590882,2090,43661,6939,8814,Inh L2-5 VIP TYR,inh
F1S4_170125_093_F01,SM-D9D6T_S30_E1-50,0.412251126,671,57601,10585,9158,Inh L2-5 VIP TYR,inh
F1S4_170125_099_G01,SM-D9D6W_S55_E1-50,0.513824449,1888,57751,13038,9815,Inh L2-5 VIP TYR,inh
F1S4_170125_105_D01,SM-D9CZR_S92_E1-50,0.504740318,NA,NA,NA,NA,Inh L2-5 VIP TYR,inh
F1S4_170302_080_C01,SM-D9D7Z_S91_E1-50,0.307001848,NA,62564,11856,8492,Inh L2-5 VIP TYR,inh
F1S4_170321_064_D01,SM-D9E5M_S04_E1-50,0.585779363,2635,62782,13395,5184,Inh L2-5 VIP TYR,inh
F1S4_170323_038_C01,SM-D9E4N_S19_E1-50,0.502404872,1897,49316,7737,4372,Inh L2-5 VIP TYR,inh
F1S4_170419_047_F01,SM-D9EQ3_S22_E1-50,0.613931295,908,28019,4714,5356,Inh L2-5 VIP TYR,inh
F1S4_170125_019_E01,SM-D9D16_S37_E1-50,0.60076096,NA,NA,NA,NA,Inh L2-5 VIP SERPINF1,inh
F1S4_170125_064_F01,SM-D9D7D_S22_E1-50,0.609702894,1167,40157,10288,9033,Inh L2-5 VIP SERPINF1,inh
F1S4_170125_079_C01,SM-D9D11_S43_E1-50,0.482028,609,50915,10990,8954,Inh L2-5 VIP SERPINF1,inh
F1S4_170207_008_B01,SM-D9D7I_S26_E1-50,0.317882594,667,49642,14894,8508,Inh L2-5 VIP SERPINF1,inh
F1S4_170207_054_D01,SM-D9CZV_S76_E1-50,0.598132156,1174,38723,9810,8439,Inh L2-5 VIP SERPINF1,inh
F1S4_170222_107_G01,SM-D9D83_S31_E1-50,0.47112422,975,47681,9857,8824,Inh L2-5 VIP SERPINF1,inh
F1S4_170419_039_H01,SM-D9EQ5_S24_E1-50,0.535483599,934,23375,3877,5436,Inh L2-5 VIP SERPINF1,inh
F1S4_170419_053_E01,SM-D9EQ2_S37_E1-50,0.653846931,1506,21448,3221,5688,Inh L2-5 VIP SERPINF1,inh
F1S4_170118_162_A01,SM-D9D6Q_S25_E1-50,0.749949313,3256,46958,13771,9863,Inh L3-6 SST HPGD,inh
F1S4_170125_083_D01,SM-D9D16_S60_E1-50,0.656943149,1490,64727,12039,9338,Inh L3-6 SST HPGD,inh
F1S4_170125_111_B01,SM-D9D6X_S58_E1-50,0.689092859,2440,62484,12711,9745,Inh L3-6 SST HPGD,inh
F1S4_170125_118_D01,SM-D9D74_S04_E1-50,0.725676839,927,47668,9542,9479,Inh L3-6 SST HPGD,inh
F1S4_170302_082_C01,SM-D9D81_S75_E1-50,0.686157255,NA,48793,18065,8942,Inh L3-6 SST HPGD,inh
F1S4_170321_060_A01,SM-D9E5G_S09_E1-50,0.748772101,4589,56164,18449,4880,Inh L3-6 SST HPGD,inh
F1S4_170117_042_G01,SM-D9D6W_S15_E1-50,0.455594097,622,51848,17432,10212,Inh L3-6 VIP HS3ST3A1,inh
F1S4_170125_047_A01,SM-D9D17_S41_E1-50,0.518207995,938,53458,11136,7849,Inh L3-6 VIP HS3ST3A1,inh
F1S4_170125_108_A01,SM-D9D6U_S41_E1-50,0.559411185,NA,NA,NA,NA,Inh L3-6 VIP HS3ST3A1,inh
F1S4_170215_071_E01,SM-D9D6S_S93_E1-50,0.514780185,777,27809,8725,9358,Inh L3-6 VIP HS3ST3A1,inh
F1S4_170215_135_D01,SM-D9EQG_S04_E1-50,0.487260183,813,32053,8581,10465,Inh L3-6 VIP HS3ST3A1,inh
F1S4_170222_093_H01,SM-D9D7U_S72_E1-50,0.476956913,383,47975,9451,9653,Inh L3-6 VIP HS3ST3A1,inh
F1S4_170302_107_B01,SM-D9D8B_S50_E1-50,0.533366215,NA,52789,10494,8649,Inh L3-6 VIP HS3ST3A1,inh
F1S4_170308_053_G01,SM-D9D7S_S95_E1-50,0.550603477,3789,60266,17387,9099,Inh L3-6 VIP HS3ST3A1,inh
F1S4_170419_040_G01,SM-D9EQ5_S31_E1-50,0.522002536,679,20119,5461,5349,Inh L3-6 VIP HS3ST3A1,inh
F1S4_170419_054_F01,SM-D9EQ2_S46_E1-50,0.482285738,NA,NA,NA,NA,Inh L3-6 VIP HS3ST3A1,inh
F1S4_170118_118_E01,SM-D9CZX_S53_E1-50,0.550940907,3439,48680,12513,10630,Inh L5-6 SST NPM1P10,inh
F1S4_170118_152_G01,SM-D9D15_S31_E1-50,0.504840726,1220,56486,9062,9379,Inh L5-6 SST NPM1P10,inh
F1S4_170118_162_E01,SM-D9D6Q_S29_E1-50,0.513625785,909,42326,8153,8812,Inh L5-6 SST NPM1P10,inh
F1S4_170125_121_F01,SM-D9D75_S06_E1-50,0.464630896,1462,43714,11802,9728,Inh L5-6 SST NPM1P10,inh
F1S4_170125_126_E01,SM-D9D76_S21_E1-50,0.48681475,1339,50405,12209,10092,Inh L5-6 SST NPM1P10,inh
F1S4_170215_128_F01,SM-D9E5I_S14_E1-50,0.461760805,434,47708,12545,10723,Inh L5-6 SST NPM1P10,inh
F1S4_170215_130_G01,SM-D9E64_S15_E1-50,0.506321821,767,43468,12495,10619,Inh L5-6 SST NPM1P10,inh
F1S4_170215_132_E01,SM-D9E65_S05_E1-50,0.532612994,539,44393,11849,10432,Inh L5-6 SST NPM1P10,inh
F1S4_170215_141_C01,SM-D9E6M_S11_E1-50,0.501404445,663,58449,14350,10818,Inh L5-6 SST NPM1P10,inh
F1S4_170323_135_F01,SM-D9D97_S62_E1-50,0.46347098,2472,52688,13093,4926,Inh L5-6 SST NPM1P10,inh
F1S4_170117_097_F01,SM-D9CZ9_S86_E1-50,0.880059528,10282,129191,34370,12101,Inh L5-6 PVALB LGR5,inh
F1S4_170118_133_D01,SM-D9CZR_S44_E1-50,0.828339788,787,48110,7430,8648,Inh L5-6 PVALB LGR5,inh
F1S4_170118_139_D01,SM-D9CZV_S60_E1-50,0.885846242,730,47227,7957,8535,Inh L5-6 PVALB LGR5,inh
F1S4_170118_150_D01,SM-D9D73_S36_E1-50,0.806610566,659,57517,8675,8586,Inh L5-6 PVALB LGR5,inh
F1S4_170125_081_D01,SM-D9D12_S36_E1-50,0.86266123,2710,60880,11272,9388,Inh L5-6 PVALB LGR5,inh
F1S4_170125_125_A01,SM-D9D76_S09_E1-50,0.886883598,986,56789,12830,9553,Inh L5-6 PVALB LGR5,inh
F1S4_170215_126_F01,SM-D9D7H_S94_E1-50,0.840556258,525,39320,9212,9977,Inh L5-6 PVALB LGR5,inh
F1S4_170215_130_D01,SM-D9E64_S12_E1-50,0.859166586,520,28928,7451,9724,Inh L5-6 PVALB LGR5,inh
F1S4_170215_155_E01,SM-D9E6Q_S21_E1-50,0.870073458,2567,54649,14963,11741,Inh L5-6 PVALB LGR5,inh
F1S4_170419_055_H01,SM-D9EQ2_S56_E1-50,0.800757482,2548,22778,5341,6179,Inh L5-6 PVALB LGR5,inh
F1S4_170321_002_A01,SM-D9D8W_S09_E1-50,0.467527639,1544,59396,12005,4818,Inh L1 SST CHRNA4,inh
F1S4_170321_003_E01,SM-D9D8X_S05_E1-50,0.428326868,1802,40381,13392,4954,Inh L1 SST CHRNA4,inh
F1S4_170321_012_G01,SM-D9D8Z_S15_E1-50,0.389455301,1245,58519,7518,5299,Inh L1 SST CHRNA4,inh
F1S4_170321_020_E01,SM-D9D92_S13_E1-50,0.468398913,2445,53255,14964,6314,Inh L1 SST CHRNA4,inh
F1S4_170321_024_B01,SM-D9D93_S10_E1-50,0.379761247,1596,62808,13550,5618,Inh L1 SST CHRNA4,inh
F1S4_170321_029_G01,SM-D9D96_S07_E1-50,0.452395325,1498,60745,16220,6777,Inh L1 SST CHRNA4,inh
F1S4_170321_031_C01,SM-D9D97_S03_E1-50,0.409820879,1306,51403,15491,6439,Inh L1 SST CHRNA4,inh
F1S4_170321_031_D01,SM-D9D97_S04_E1-50,0.417417676,1459,53957,16720,6584,Inh L1 SST CHRNA4,inh
F1S4_170322_002_B01,SM-D9D8T_S34_E1-50,0.438263965,2854,41657,16265,4995,Inh L1 SST CHRNA4,inh
F1S4_170118_006_D01,SM-D9D7U_S20_E1-50,0.425869326,1465,56435,8488,9518,Inh L1 SST NMBR,inh
F1S4_170207_029_E01,SM-D9D8M_S13_E1-50,0.428848457,455,54753,11563,9065,Inh L1 SST NMBR,inh
F1S4_170321_019_E01,SM-D9D92_S05_E1-50,0.425841982,1884,66941,29678,5946,Inh L1 SST NMBR,inh
F1S4_170321_031_G01,SM-D9D97_S07_E1-50,0.428946899,2040,57094,15497,6744,Inh L1 SST NMBR,inh
F1S4_170321_033_E01,SM-D9D97_S21_E1-50,0.427451393,1380,41661,11967,5975,Inh L1 SST NMBR,inh
F1S4_170321_036_A01,SM-D9D8L_S65_E1-50,0.426623014,2280,52707,17912,6431,Inh L1 SST NMBR,inh
F1S4_170322_001_D01,SM-D9D8T_S28_E1-50,0.424843945,1796,53530,18265,5256,Inh L1 SST NMBR,inh
F1S4_170322_002_A01,SM-D9D8T_S33_E1-50,0.432477354,2033,63796,16456,4450,Inh L1 SST NMBR,inh
F1S4_170322_003_E01,SM-D9D8W_S53_E1-50,0.422840713,2220,52232,20308,4896,Inh L1 SST NMBR,inh
F1S4_170322_004_A01,SM-D9D8W_S57_E1-50,0.440272597,2392,56132,14025,4378,Inh L1 SST NMBR,inh
F1S4_170321_015_D01,SM-D9D91_S04_E1-50,0.667133501,1988,54669,13164,5583,Inh L1-2 VIP TSPAN12,inh
F1S4_170321_017_B01,SM-D9D91_S18_E1-50,0.662555105,1724,43073,13301,5477,Inh L1-2 VIP TSPAN12,inh
F1S4_170321_017_E01,SM-D9D91_S21_E1-50,0.655122454,1499,49532,16005,6000,Inh L1-2 VIP TSPAN12,inh
F1S4_170321_019_G01,SM-D9D92_S07_E1-50,0.697277513,1402,44452,12168,5921,Inh L1-2 VIP TSPAN12,inh
F1S4_170321_028_D01,SM-D9D95_S20_E1-50,0.663300937,1304,52199,9682,6586,Inh L1-2 VIP TSPAN12,inh
F1S4_170321_029_D01,SM-D9D96_S04_E1-50,0.686100221,1768,67148,12240,6408,Inh L1-2 VIP TSPAN12,inh
F1S4_170322_002_G01,SM-D9D8T_S39_E1-50,0.69932255,1824,48419,11501,5360,Inh L1-2 VIP TSPAN12,inh
F1S4_170322_004_B01,SM-D9D8W_S58_E1-50,0.683044116,1881,55569,21255,4874,Inh L1-2 VIP TSPAN12,inh
F1S4_170322_005_D01,SM-D9D8W_S68_E1-50,0.685925937,2820,49551,18824,4729,Inh L1-2 VIP TSPAN12,inh
