sample_name,exp_component_name,cl.sep,PE-A Mean,FSC-A Mean,SSC-A Mean,DAPI-A Mean,cluster,cluster_type
F1S4_170118_004_E01,SM-D9D7S_S29_E1-50,0.650100259,3055,44810,9073,9056,Inh L1-4 LAMP5 LCP2,inh
F1S4_170125_069_F01,SM-D9D7F_S22_E1-50,0.630865734,1770,58551,14292,8401,Inh L1-4 LAMP5 LCP2,inh
F1S4_170207_048_A01,SM-D9D7J_S73_E1-50,0.642934032,972,54664,11064,8047,Inh L1-4 LAMP5 LCP2,inh
F1S4_170215_071_D01,SM-D9D6S_S92_E1-50,0.628485966,1877,29711,8087,8940,Inh L1-4 LAMP5 LCP2,inh
F1S4_170321_054_D01,SM-D9D8Y_S44_E1-50,0.628262233,NA,NA,NA,NA,Inh L1-4 LAMP5 LCP2,inh
F1S4_170321_060_G01,SM-D9E5G_S15_E1-50,0.628115188,2465,61495,16698,5109,Inh L1-4 LAMP5 LCP2,inh
F1S4_170322_010_B01,SM-D9D8W_S90_E1-50,0.641176527,2631,49967,10483,4376,Inh L1-4 LAMP5 LCP2,inh
F1S4_170117_066_B01,SM-D9CZX_S34_E1-50,0.603351383,1284,44923,12038,8847,Inh L1-3 SST CALB1,inh
F1S4_170125_018_A01,SM-D9D16_S25_E1-50,0.607979731,730,58562,16076,8918,Inh L1-3 SST CALB1,inh
F1S4_170125_035_A01,SM-D9D6V_S33_E1-50,0.599335459,1160,60765,9528,9500,Inh L1-3 SST CALB1,inh
F1S4_170125_049_C01,SM-D9D6P_S51_E1-50,0.613349068,528,52598,11917,8882,Inh L1-3 SST CALB1,inh
F1S4_170207_018_F01,SM-D9D7L_S46_E1-50,0.602407986,578,60688,10843,9134,Inh L1-3 SST CALB1,inh
F1S4_170207_026_E01,SM-D9D8L_S29_E1-50,0.604401495,2974,42541,20121,8990,Inh L1-3 SST CALB1,inh
F1S4_170321_056_G01,SM-D9D91_S39_E1-50,0.607171762,2813,40522,12412,4898,Inh L1-3 SST CALB1,inh
F1S4_170322_009_F01,SM-D9D8W_S86_E1-50,0.606211198,NA,NA,NA,NA,Inh L1-3 SST CALB1,inh
F1S4_170322_023_E01,SM-D9D92_S53_E1-50,0.604962742,NA,NA,NA,NA,Inh L1-3 SST CALB1,inh
F1S4_170118_116_D01,SM-D9CZW_S44_E1-50,0.655201696,1200,45310,8019,9424,Inh L3-5 SST ADGRG6,inh
F1S4_170222_088_B01,SM-D9D7T_S42_E1-50,0.671161422,2585,64866,9993,9629,Inh L3-5 SST ADGRG6,inh
F1S4_170222_101_E01,SM-D9D81_S37_E1-50,0.602854134,1216,45112,7747,8717,Inh L3-5 SST ADGRG6,inh
F1S4_170302_094_C01,SM-D9D89_S19_E1-50,0.67337642,NA,52852,9837,8496,Inh L3-5 SST ADGRG6,inh
F1S4_170323_040_B01,SM-D9E4N_S34_E1-50,0.615714359,2153,35470,5804,4106,Inh L3-5 SST ADGRG6,inh
F1S4_170419_031_G01,SM-D9E5Z_S71_E1-50,0.582712473,2623,17044,5065,5256,Inh L3-5 SST ADGRG6,inh
F1S4_170419_032_E01,SM-D9E5Z_S77_E1-50,0.667618699,1322,26770,4238,5109,Inh L3-5 SST ADGRG6,inh
F1S4_170419_033_E01,SM-D9EQ8_S37_E1-50,0.598801897,1246,20712,5312,5052,Inh L3-5 SST ADGRG6,inh
F1S4_170419_050_E01,SM-D9EQ3_S45_E1-50,0.63075726,NA,NA,NA,NA,Inh L3-5 SST ADGRG6,inh
F1S4_170419_050_F01,SM-D9EQ3_S46_E1-50,0.599481701,1675,23696,4141,5780,Inh L3-5 SST ADGRG6,inh
F1S4_170118_005_G01,SM-D9D7T_S23_E1-50,0.825204462,1487,46790,8972,9184,Inh L1-2 SST BAGE2,inh
F1S4_170125_010_F01,SM-D9CZY_S30_E1-50,0.823153188,486,45449,10341,9505,Inh L1-2 SST BAGE2,inh
F1S4_170207_019_C01,SM-D9D8A_S11_E1-50,0.820957119,810,49934,10133,8869,Inh L1-2 SST BAGE2,inh
F1S4_170321_030_B01,SM-D9D96_S10_E1-50,0.823800295,1315,45380,19524,6150,Inh L1-2 SST BAGE2,inh
F1S4_170406_116_E01,SM-D9E5L_S85_E1-50,0.836309351,1004,33430,8884,4557,Inh L1-2 SST BAGE2,inh
F1S4_170406_117_A01,SM-D9E5L_S89_E1-50,0.821960265,NA,NA,NA,NA,Inh L1-2 SST BAGE2,inh
F1S4_170406_118_B01,SM-D9E5M_S82_E1-50,0.835535836,NA,NA,NA,NA,Inh L1-2 SST BAGE2,inh
F1S4_170406_119_B01,SM-D9E5M_S90_E1-50,0.819682794,NA,NA,NA,NA,Inh L1-2 SST BAGE2,inh
F1S4_170413_128_A01,SM-D9E5Y_S41_E1-50,0.821274392,NA,NA,NA,NA,Inh L1-2 SST BAGE2,inh
F1S4_170413_131_A01,SM-D9E5Z_S49_E1-50,0.822484975,NA,NA,NA,NA,Inh L1-2 SST BAGE2,inh
F1S4_170125_002_C01,SM-D9D11_S11_E1-50,0.534314997,1429,52970,12562,8804,Inh L1-2 GAD1 MC4R,inh
F1S4_170207_016_G01,SM-D9D7K_S63_E1-50,0.536925782,635,47268,9687,8264,Inh L1-2 GAD1 MC4R,inh
F1S4_170215_002_C01,SM-D9E5G_S03_E1-50,0.581377787,1056,40288,11478,8908,Inh L1-2 GAD1 MC4R,inh
F1S4_170321_005_G01,SM-D9D8X_S23_E1-50,0.56609286,1652,47929,14342,5284,Inh L1-2 GAD1 MC4R,inh
F1S4_170321_007_C01,SM-D9D8Y_S03_E1-50,0.576956318,1512,47384,12230,4939,Inh L1-2 GAD1 MC4R,inh
F1S4_170321_008_D01,SM-D9D8Y_S12_E1-50,0.566105353,1713,42380,15639,4914,Inh L1-2 GAD1 MC4R,inh
F1S4_170321_023_C01,SM-D9D93_S03_E1-50,0.538029674,1151,52012,9374,5688,Inh L1-2 GAD1 MC4R,inh
F1S4_170321_026_D01,SM-D9D94_S20_E1-50,0.549616433,2244,41985,14359,6578,Inh L1-2 GAD1 MC4R,inh
F1S4_170321_028_F01,SM-D9D95_S22_E1-50,0.547736409,2232,64109,35312,6783,Inh L1-2 GAD1 MC4R,inh
F1S4_170406_117_C01,SM-D9E5L_S91_E1-50,0.568770924,980,40104,7188,4484,Inh L1-2 GAD1 MC4R,inh
